Nation,2022,2023,2024
New Caledonia,0.9335423997824365,0.9910240817205968,0.8920227051918709
New Zealand,0.9398925295608381,1.049765055065642,0.7886760970558849
Nicaragua,2.2527861390172625,1.8223445390935504,1.0148286300660185
Niger,0.9577930163033417,0.9886871101723738,1.0860460179095475
Nigeria,0.9577930163033417,0.9886871101723738,1.0860460179095475
Norway,0.9305453524112558,0.9726688860793677,0.8922470414908403
Oman,1.0249474692123501,1.036336702495881,1.0478663076622379
Pakistan,0.850092061849807,0.9908656400100031,0.979874386227322
Panama,2.2527861390172625,1.8223445390935504,1.0148286300660185
Papua New Guinea,0.9335423997824365,0.9910240817205968,0.8920227051918709
Paraguay,1.0415123850665322,1.108905751567552,1.3852892745015908
Peru,1.0988985350309448,1.0230007464711126,1.1251793335298934
Philippines,0.9382437680307043,1.0400426877622255,1.049769048627115
Poland,0.8315366624027275,1.0449469449825066,1.079305225812512
Portugal,0.9617788135691615,0.7998763320064217,0.8211905292099975
Qatar,0.9933706602529072,1.0930585646179343,1.0614269554139202
Republic Of Cameroon,1.0588772431210627,0.9039331286867904,1.0139937968183605
Republic Of Korea,0.9995429366305568,0.9630617989755486,1.0594931505173038
Republic Of Moldova,1.0019008128391365,0.9447524802579097,1.0023078054072547
Reunion,1.0693792933027602,1.0301252861194188,0.878147888611304
Romania,0.8394311287606177,0.9387091827240327,1.0369873097423954
Russia,1.039070158430262,1.0110746782513471,1.0521705392837986
Rwanda,1.0693792933027602,1.0301252861194188,0.878147888611304
Saint Lucia,0.9637534724848267,1.140733793999727,1.0956835167396533
Samoa,0.9335423997824365,0.9910240817205968,0.8920227051918709
Sao Tome & Principe,1.0588772431210627,0.9039331286867904,1.0139937968183605
Saudi Arabia,1.0200000185153213,1.0051803190307773,1.0351735437867093
Senegal,0.9577930163033417,0.9886871101723738,1.0860460179095475
Seychelles,1.0693792933027602,1.0301252861194188,0.878147888611304
Sierra Leone,0.9577930163033417,0.9886871101723738,1.0860460179095475
Singapore,0.9780933185123679,0.944256998112605,1.052741284706199
Slovakia,0.8331709569332116,0.9519874990285241,1.0348693579766153
Solomon Islands,0.9335423997824365,0.9910240817205968,0.8920227051918709
Somalia,1.0693792933027602,1.0301252861194188,0.878147888611304
South Africa,1.0167163554146148,1.1113581684625427,1.0055005615710906
Spain,0.9606651468305087,0.8938062206525859,0.9623496654475827
Sri Lanka,0.9958712760942445,1.0022857229082482,1.028070200417591
St. Kitts-Nevis,0.9637534724848267,1.140733793999727,1.0956835167396533
St. Vincent & The Grenadines,0.9637534724848267,1.140733793999727,1.0956835167396533
Sudan,1.0693792933027602,1.0301252861194188,0.878147888611304
Suriname,1.0415123850665322,1.108905751567552,1.3852892745015908
Swaziland,0.9958712760942445,1.0022857229082482,1.028070200417591
Sweden,0.7524992461636619,1.0970585605698813,1.0829336553873081
Switzerland,1.3206856512545047,0.9171854948027018,1.0152322841991512
Syria,0.9464431067120437,0.9903163131806899,0.974607444212589
Taiwan,1.028430946914387,0.9957453932712064,1.0605225806199348
Tajikistan,1.0019008128391365,0.9447524802579097,1.0023078054072547
Thailand,0.9426620746459049,1.064446084261596,1.022294269874191
Togo,0.9577930163033417,0.9886871101723738,1.0860460179095475
Tonga,0.9335423997824365,0.9910240817205968,0.8920227051918709
Trinidad And Tobago,0.9913124848814066,0.9385762184067034,0.9690375141524596
Tunisia,0.978108635217932,1.005980656048141,1.0181565251173523
Turkey,0.8891899118776555,0.9438029952372786,1.0591169434849368
Turkmenistan,1.0489261852528924,0.9403301024592189,0.8080952518548233
Uganda,1.0693792933027602,1.0301252861194188,0.878147888611304
Ukraine,0.6701388699063044,1.0259067761420209,1.0642983617160013
United Arab Emirates,1.0168153155020967,1.0088421272194679,1.0646806749323914
United Kingdom,0.9159732048666913,0.9025582537234034,0.9722967772950248
United Republic Of Tanzania,1.0693792933027602,1.0301252861194188,0.878147888611304
United States Of America,1.0525843715246306,1.0091228093402353,1.015487453287323
Uruguay,1.0415123850665322,1.108905751567552,1.3852892745015908
