Nation,2021,2022,2023,2024
Sri Lanka,1.0368499792086023,0.89487961845009,1.0274204750090197,1.112538318366507
St. Kitts-Nevis,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
St. Vincent & The Grenadines,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Sudan,1.0756556977458442,1.0496175492554536,1.0329165558027014,1.0141412681922948
Suriname,1.036657367697897,1.0370909113750448,1.0677527145416656,1.0244523967324726
Swaziland,1.0917590362186733,0.9757799882470352,1.0245165414756163,1.0433239263720286
Sweden,1.055641075910754,0.9810651198710035,0.964089571268671,1.0177650488203196
Switzerland,0.9369699853293988,1.025500051981071,1.0665020602778372,1.0693326075792184
Syria,0.9947912726443899,0.98648842048619,1.0149586033388547,1.0003941431841892
Taiwan,1.0629696235145294,0.9609387228918475,0.9541011383292823,0.9979864246856538
Tajikistan,1.0265433782738647,1.0122718203955547,0.9910880553985789,1.029748282365243
Thailand,1.0052069551093459,1.0007661595136177,1.000218543033796,1.0235095920579522
Togo,1.1656933139615377,1.0045731970197156,0.981714209590687,1.052052019120137
Tonga,0.981300510606828,1.060660131337678,1.0300463993115447,1.0251872988968733
Trinidad And Tobago,1.0223275292762692,0.9996082247540304,0.9472208130500706,0.9748926139783994
Tunisia,1.2008656685810848,1.0425753275999723,1.046668169594855,1.0368908133448551
Turkey,1.0708593706557243,1.009291369178521,0.996163497524294,1.0670724187606777
Turkmenistan,1.0012055760611123,1.0606431160466028,0.9293926691281741,0.84651773623436
Uganda,1.0756556977458442,1.0496175492554536,1.0329165558027014,1.0141412681922948
Ukraine,1.0179468184069842,0.6618437475878889,0.9504656476890215,1.0219741571978278
United Arab Emirates,1.0473680869455602,1.090553556288005,1.0593725921833375,1.0619287538423963
United Kingdom,1.0040974555527524,1.009531328093597,0.9600398587231306,1.003800380112258
United Republic Of Tanzania,1.0756556977458442,1.0496175492554536,1.0329165558027014,1.0141412681922948
United States Of America,1.0538535220029879,1.0214079363157516,0.9888368181003064,1.0119033899101577
Uruguay,1.036657367697897,1.0370909113750448,1.0677527145416656,1.0244523967324726
Uzbekistan,1.0668739661769846,1.0288311761150564,1.0133174282494337,1.1584959481466874
Vanuatu,0.981300510606828,1.060660131337678,1.0300463993115447,1.0251872988968733
Venezuela,1.144405334363012,1.069462238927025,1.0827071409220526,0.998664370720034
Vietnam,0.995651376081424,1.0573079616920982,1.0637353257148532,1.0729075346955315
Yemen,0.9947912726443899,0.98648842048619,1.0149586033388547,1.0003941431841892
Yugoslavia,1.0621542667428627,0.9860482988208891,1.0395543155027918,0.9810538914543802
Zambia,1.0756556977458442,1.0496175492554536,1.0329165558027014,1.0141412681922948
Zimbabwe,1.0756556977458442,1.0496175492554536,1.0329165558027014,1.0141412681922948
